Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
21241;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21250;Baltimore;MD;39.258226;-76.713149;-5;1;39.258226,-76.713149
21210;Baltimore;MD;39.352496;-76.63452;-5;1;39.352496,-76.63452
21298;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21297;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21213;Baltimore;MD;39.311474;-76.58283;-5;1;39.311474,-76.58283
21216;Baltimore;MD;39.310006;-76.67029;-5;1;39.310006,-76.67029
21235;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21224;Baltimore;MD;39.284607;-76.55696;-5;1;39.284607,-76.55696
21240;Baltimore;MD;39.142793;-76.651589;-5;1;39.142793,-76.651589
21209;Baltimore;MD;39.368974;-76.66904;-5;1;39.368974,-76.66904
21281;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21283;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21223;Baltimore;MD;39.286556;-76.64644;-5;1;39.286556,-76.64644
21233;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21230;Baltimore;MD;39.273107;-76.62613;-5;1;39.273107,-76.62613
21273;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21288;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21206;Baltimore;MD;39.341107;-76.54085;-5;1;39.341107,-76.54085
21212;Baltimore;MD;39.363456;-76.61142;-5;1;39.363456,-76.61142
21284;Baltimore;MD;39.438964;-76.592139;-5;1;39.438964,-76.592139
21287;Baltimore;MD;39.297457;-76.592738;-5;1;39.297457,-76.592738
21275;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21217;Baltimore;MD;39.306306;-76.63786;-5;1;39.306306,-76.63786
21239;Baltimore;MD;39.36225;-76.58812;-5;1;39.36225,-76.58812
21289;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21211;Baltimore;MD;39.328957;-76.63361;-5;1;39.328957,-76.63361
21278;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21218;Baltimore;MD;39.325956;-76.60602;-5;1;39.325956,-76.60602
21201;Baltimore;MD;39.295306;-76.62118;-5;1;39.295306,-76.62118
21203;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21285;Baltimore;MD;39.438964;-76.592139;-5;1;39.438964,-76.592139
21215;Baltimore;MD;39.345456;-76.68038;-5;1;39.345456,-76.68038
21270;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21280;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21263;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21274;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21290;Baltimore;MD;39.293256;-76.623839;-5;1;39.293256,-76.623839
21252;Baltimore;MD;39.388799;-76.613325;-5;1;39.388799,-76.613325
21265;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21214;Baltimore;MD;39.351857;-76.56399;-5;1;39.351857,-76.56399
21264;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21202;Baltimore;MD;39.296507;-76.60693;-5;1;39.296507,-76.60693
21251;Baltimore;MD;39.438964;-76.592139;-5;1;39.438964,-76.592139
21229;Baltimore;MD;39.284856;-76.6878;-5;1;39.284856,-76.6878
21231;Baltimore;MD;39.288607;-76.59116;-5;1;39.288607,-76.59116
21260;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21205;Baltimore;MD;39.301157;-76.57478;-5;1;39.301157,-76.57478
21279;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21268;Baltimore;MD;39.284707;-76.620489;-5;1;39.284707,-76.620489
21282;Baltimore;MD;39.438964;-76.592139;-5;1;39.438964,-76.592139
