Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
53208;Milwaukee;WI;43.047863;-87.96618;-6;1;43.047863,-87.96618
53206;Milwaukee;WI;43.076179;-87.93476;-6;1;43.076179,-87.93476
53224;Milwaukee;WI;43.153865;-88.04032;-6;1;43.153865,-88.04032
53207;Milwaukee;WI;42.985465;-87.89998;-6;1;42.985465,-87.89998
53217;Milwaukee;WI;43.14351;-87.90894;-6;1;43.14351,-87.90894
53234;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53222;Milwaukee;WI;43.083261;-88.02823;-6;1;43.083261,-88.02823
53278;Milwaukee;WI;43.038863;-87.902384;-6;1;43.038863,-87.902384
53288;Milwaukee;WI;43.040613;-87.909784;-6;1;43.040613,-87.909784
53228;Milwaukee;WI;42.966681;-88.03798;-6;1;42.966681,-88.03798
53214;Milwaukee;WI;43.020363;-88.01273;-6;1;43.020363,-88.01273
53202;Milwaukee;WI;43.046213;-87.9005;-6;1;43.046213,-87.9005
53285;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53221;Milwaukee;WI;42.953915;-87.9457;-6;1;42.953915,-87.9457
53225;Milwaukee;WI;43.11576;-88.04121;-6;1;43.11576,-88.04121
53205;Milwaukee;WI;43.053763;-87.93473;-6;1;43.053763,-87.93473
53215;Milwaukee;WI;42.999364;-87.94343;-6;1;42.999364,-87.94343
53274;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53270;Milwaukee;WI;43.038763;-87.903634;-6;1;43.038763,-87.903634
53209;Milwaukee;WI;43.11941;-87.94727;-6;1;43.11941,-87.94727
53172;South Milwaukee;WI;42.909816;-87.86395;-6;1;42.909816,-87.86395
53295;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53201;Milwaukee;WI;43.011264;-87.958409;-6;1;43.011264,-87.958409
53210;Milwaukee;WI;43.068962;-87.97423;-6;1;43.068962,-87.97423
53237;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53259;Milwaukee;WI;43.038663;-87.913934;-6;1;43.038663,-87.913934
53227;Milwaukee;WI;42.997647;-88.03717;-6;1;42.997647,-88.03717
53268;Milwaukee;WI;43.038513;-87.909584;-6;1;43.038513,-87.909584
53218;Milwaukee;WI;43.11096;-87.99436;-6;1;43.11096,-87.99436
53277;Milwaukee;WI;43.038863;-87.902384;-6;1;43.038863,-87.902384
53219;Milwaukee;WI;42.996614;-87.99213;-6;1;42.996614,-87.99213
53280;Milwaukee;WI;43.040963;-87.957786;-6;1;43.040963,-87.957786
53204;Milwaukee;WI;43.017414;-87.92625;-6;1;43.017414,-87.92625
53220;Milwaukee;WI;42.969115;-87.99141;-6;1;42.969115,-87.99141
53290;Milwaukee;WI;43.037263;-87.914034;-6;1;43.037263,-87.914034
53203;Milwaukee;WI;43.037963;-87.91548;-6;1;43.037963,-87.91548
53284;Milwaukee;WI;43.017412;-87.569664;-6;1;43.017412,-87.569664
53212;Milwaukee;WI;43.072062;-87.9103;-6;1;43.072062,-87.9103
53211;Milwaukee;WI;43.083012;-87.8859;-6;1;43.083012,-87.8859
53216;Milwaukee;WI;43.086711;-87.9749;-6;1;43.086711,-87.9749
53267;Milwaukee;WI;43.044013;-87.909834;-6;1;43.044013,-87.909834
53263;Milwaukee;WI;43.074583;-88.06044;-6;1;43.074583,-88.06044
53281;Milwaukee;WI;43.040963;-87.957786;-6;1;43.040963,-87.957786
53223;Milwaukee;WI;43.163692;-87.98717;-6;1;43.163692,-87.98717
53213;Milwaukee;WI;43.049012;-88.00012;-6;1;43.049012,-88.00012
53233;Milwaukee;WI;43.037313;-87.93373;-6;1;43.037313,-87.93373
53226;Milwaukee;WI;43.048545;-88.04239;-6;1;43.048545,-88.04239
53293;Milwaukee;WI;43.040813;-87.919135;-6;1;43.040813,-87.919135
