Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
98144;Seattle;WA;47.58577;-122.30081;-8;1;47.58577,-122.30081
98133;Seattle;WA;47.733852;-122.34461;-8;1;47.733852,-122.34461
98174;Seattle;WA;47.604718;-122.33523;-8;1;47.604718,-122.33523
98145;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98105;Seattle;WA;47.66377;-122.30118;-8;1;47.66377,-122.30118
98136;Seattle;WA;47.538887;-122.38803;-8;1;47.538887,-122.38803
98140;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98160;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98107;Seattle;WA;47.66747;-122.37468;-8;1;47.66747,-122.37468
98104;Seattle;WA;47.60252;-122.32855;-8;1;47.60252,-122.32855
98132;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98122;Seattle;WA;47.61157;-122.30406;-8;1;47.61157,-122.30406
98115;Seattle;WA;47.68382;-122.30122;-8;1;47.68382,-122.30122
98119;Seattle;WA;47.63877;-122.36694;-8;1;47.63877,-122.36694
98146;Seattle;WA;47.501753;-122.35688;-8;1;47.501753,-122.35688
98158;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98101;Seattle;WA;47.61067;-122.33438;-8;1;47.61067,-122.33438
98188;Seattle;WA;47.450321;-122.27472;-8;1;47.450321,-122.27472
98118;Seattle;WA;47.543348;-122.27496;-8;1;47.543348,-122.27496
98102;Seattle;WA;47.63287;-122.32253;-8;1;47.63287,-122.32253
98121;Seattle;WA;47.61487;-122.34578;-8;1;47.61487,-122.34578
98116;Seattle;WA;47.57487;-122.39392;-8;1;47.57487,-122.39392
98131;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98198;Seattle;WA;47.397521;-122.315;-8;1;47.397521,-122.315
98166;Seattle;WA;47.458821;-122.34943;-8;1;47.458821,-122.34943
98177;Seattle;WA;47.740886;-122.36978;-8;1;47.740886,-122.36978
98148;Seattle;WA;47.443756;-122.33068;-8;1;47.443756,-122.33068
98171;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98178;Seattle;WA;47.497971;-122.24664;-8;1;47.497971,-122.24664
98184;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98190;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98195;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98125;Seattle;WA;47.716648;-122.30308;-8;1;47.716648,-122.30308
98103;Seattle;WA;47.671346;-122.34166;-8;1;47.671346,-122.34166
98151;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98138;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98106;Seattle;WA;47.53282;-122.35443;-8;1;47.53282,-122.35443
98168;Seattle;WA;47.491327;-122.3027;-8;1;47.491327,-122.3027
98111;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98185;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98126;Seattle;WA;47.54687;-122.3748;-8;1;47.54687,-122.3748
98181;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98112;Seattle;WA;47.629653;-122.29752;-8;1;47.629653,-122.29752
98060;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98199;Seattle;WA;47.64767;-122.39758;-8;1;47.64767,-122.39758
98129;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98114;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98109;Seattle;WA;47.630648;-122.34675;-8;1;47.630648,-122.34675
98124;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98155;Seattle;WA;47.753019;-122.30373;-8;1;47.753019,-122.30373
98154;Seattle;WA;47.60632;-122.33357;-8;1;47.60632,-122.33357
98161;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98130;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98108;Seattle;WA;47.546188;-122.31514;-8;1;47.546188,-122.31514
98191;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98134;Seattle;WA;47.57867;-122.33441;-8;1;47.57867,-122.33441
98164;Seattle;WA;47.606139;-122.33186;-8;1;47.606139,-122.33186
98117;Seattle;WA;47.685919;-122.37838;-8;1;47.685919,-122.37838
98150;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
